,movie,year,time_minute,imdb_rating,metascore,vote,gross_earning
290,My Cousin Vinny,1992,120,7.6,68.0,126202,52.93
291,Unforgiven,1992,130,8.2,85.0,412682,101.16
292,Scent of a Woman,1992,156,8.0,59.0,297629,63.9
293,Goldfinger,1964,110,7.7,87.0,191826,51.08
294,Howl's Moving Castle,2004,119,8.2,80.0,395092,4.71
295,The Butterfly Effect,2004,113,7.6,30.0,490843,57.94
296,Aladdin,1992,90,8.0,86.0,420140,217.35
297,Manchester by the Sea,2016,137,7.8,96.0,283198,47.7
298,The Count of Monte Cristo,2002,131,7.7,61.0,139109,54.23
299,Marriage Story,2019,137,7.9,94.0,309191,2.0
300,The Girl with the Dragon Tattoo,2011,158,7.8,71.0,464454,102.52
301,Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,58.0,1051144,309.13
302,Before Sunrise,1995,101,8.1,77.0,308749,5.54
303,3 Idiots,2009,170,8.4,67.0,400348,6.53
304,Zodiac,2007,157,7.7,78.0,541947,33.08
305,Deliverance,1972,109,7.7,80.0,110614,7.06
306,Spotlight,2015,129,8.1,93.0,470095,45.06
307,First Blood,1982,93,7.7,61.0,254145,47.21
308,The Bourne Identity,2002,119,7.9,68.0,547982,121.66
309,The Deer Hunter,1978,183,8.1,86.0,340107,48.98
310,Kill Bill: Vol. 2,2004,137,8.0,83.0,756025,66.21
311,The Muppet Christmas Carol,1992,85,7.7,64.0,59169,27.28
312,Despicable Me,2010,95,7.6,72.0,548242,251.51
313,Finding Nemo,2003,100,8.2,90.0,1041457,380.84
314,Remember the Titans,2000,113,7.8,48.0,216914,115.65
315,American Gangster,2007,157,7.8,76.0,427816,130.16
316,Soul,2020,100,8.0,83.0,328686,Null
317,This Is Spinal Tap,1984,82,7.9,92.0,140531,4.74
318,Star Wars: Episode III - Revenge of the Sith,2005,140,7.6,68.0,791055,380.26
319,Room,2015,118,8.1,86.0,420992,14.68
320,Memories of Murder,2003,132,8.1,82.0,184736,0.01
321,Back to the Future Part II,1989,108,7.8,57.0,533372,118.5
322,The Last Emperor,1987,163,7.7,76.0,104229,43.98
323,Drishyam 2,2021,152,8.4,Null,37466,Null
324,"Monsters, Inc.",2001,92,8.1,79.0,907259,289.92
325,Warrior,2011,140,8.2,71.0,472969,13.66
326,Fried Green Tomatoes,1991,130,7.7,64.0,75818,82.42
327,The Lives of Others,2006,137,8.4,89.0,389981,11.29
328,Amélie,2001,122,8.3,69.0,756377,33.23
329,"Lock, Stock and Two Smoking Barrels",1998,107,8.2,66.0,582463,3.9
330,The Sandlot,1993,101,7.8,55.0,93414,32.42
331,District 9,2009,112,7.9,81.0,682696,115.65
332,Cast Away,2000,143,7.8,73.0,592275,233.63
333,Argo,2012,120,7.7,86.0,615361,136.03
334,Portrait of a Lady on Fire,2019,122,8.1,95.0,92153,3.76
335,Taken,2008,90,7.8,51.0,603856,145.0
336,Hot Fuzz,2007,121,7.8,81.0,506654,23.64
337,Birdman or (The Unexpected Virtue of Ignorance),2014,119,7.7,87.0,630259,42.34
338,Incendies,2010,131,8.3,80.0,178272,6.86
339,The Machinist,2004,101,7.7,61.0,391719,1.08
340,JFK,1991,189,8.0,72.0,157234,70.41
341,Young Frankenstein,1974,106,8.0,80.0,159621,86.3
342,Rush,2013,123,8.1,74.0,480252,26.95
343,The Boy in the Striped Pajamas,2008,94,7.7,55.0,220217,9.03
344,Misery,1990,107,7.8,75.0,213721,61.28
345,What We Do in the Shadows,2014,86,7.6,76.0,185302,3.33
346,Cat on a Hot Tin Roof,1958,108,7.9,84.0,50142,17.57
347,Up,2009,96,8.3,88.0,1041161,293.0
348,Captain America: The Winter Soldier,2014,136,7.8,70.0,844460,259.77
349,Shaun of the Dead,2004,99,7.9,76.0,559438,13.54
350,Planet of the Apes,1968,112,8.0,79.0,181178,33.4
351,Big Fish,2003,125,8.0,58.0,442297,66.26
352,L.A. Confidential,1997,138,8.2,90.0,583309,64.62
353,Capernaum,2018,126,8.4,75.0,89999,1.66
354,The Lego Movie,2014,100,7.7,83.0,356628,257.76
355,Mary Poppins,1964,139,7.8,88.0,173799,102.27
356,How to Train Your Dragon,2010,98,8.1,75.0,739240,217.58
357,The Sting,1973,129,8.3,83.0,262925,159.6
358,To Have and Have Not,1944,100,7.8,90.0,35304,Null
359,Crash,2004,112,7.8,66.0,437431,54.58
360,Lawrence of Arabia,1962,218,8.3,100.0,294429,44.82
361,Mystic River,2003,138,7.9,84.0,457403,90.14
362,Downfall,2004,156,8.2,82.0,356457,5.51
363,Grave of the Fireflies,1988,89,8.5,94.0,277254,Null
364,A Few Good Men,1992,138,7.7,62.0,265719,141.34
365,The Royal Tenenbaums,2001,110,7.6,76.0,293940,52.36
366,Midnight in Paris,2011,94,7.7,81.0,425227,56.82
367,What's Eating Gilbert Grape,1993,118,7.7,73.0,238724,9.17
368,Captain Fantastic,2016,118,7.8,72.0,219969,5.88
369,Raging Bull,1980,129,8.2,89.0,354750,23.38
370,The Fighter,2010,116,7.8,79.0,369193,93.62
371,Let the Right One In,2008,114,7.9,82.0,218642,2.12
372,X-Men: Days of Future Past,2014,132,7.9,75.0,713115,233.92
373,Chinatown,1974,130,8.2,92.0,327403,8.49
374,Apollo 13,1995,140,7.7,77.0,296478,173.84
375,Kung Fu Panda,2008,92,7.6,74.0,470689,215.43
376,Cool Hand Luke,1967,127,8.1,92.0,178119,16.22
377,Slumdog Millionaire,2008,120,8.0,84.0,845416,141.32
378,The Untouchables,1987,119,7.9,79.0,311046,76.27
379,Bridge of Spies,2015,142,7.6,81.0,312168,72.31
380,Road to Perdition,2002,117,7.7,72.0,269411,104.45
381,A Bronx Tale,1993,121,7.8,80.0,143299,17.27
382,The Graduate,1967,106,8.0,83.0,274261,104.95
383,Monty Python and the Holy Grail,1975,91,8.2,91.0,541887,1.23
384,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,97.0,491199,0.28
385,Barry Lyndon,1975,185,8.1,89.0,168828,Null
386,Serenity,2005,119,7.8,74.0,297073,25.51
387,Dallas Buyers Club,2013,117,7.9,77.0,489199,27.3
388,12 Monkeys,1995,129,8.0,74.0,618684,57.14
389,In the Mood for Love,2000,98,8.1,85.0,150670,2.73
390,Perfect Blue,1997,81,8.0,67.0,77702,0.78
391,Gravity,2013,91,7.7,96.0,825811,274.09
392,The Pursuit of Happyness,2006,117,8.0,64.0,512386,163.57
393,Close Encounters of the Third Kind,1977,138,7.6,90.0,203217,132.09
394,Rain Man,1988,133,8.0,65.0,515040,178.8
395,Magnolia,1999,188,8.0,77.0,313711,22.46
396,Gattaca,1997,106,7.8,64.0,305803,12.34
397,Gaslight,1944,114,7.8,78.0,29938,Null
398,The Shop Around the Corner,1940,99,8.0,96.0,33786,0.2
399,Princess Mononoke,1997,134,8.4,76.0,394525,2.38
400,Naked,1993,131,7.7,85.0,40161,1.77
401,The Fugitive,1993,130,7.8,87.0,296552,183.88
402,3:10 to Yuma,2007,122,7.7,76.0,313080,53.61
403,The Fault in Our Stars,2014,126,7.7,69.0,378120,124.87
404,Moon,2009,97,7.8,67.0,360302,5.01
405,Sense and Sensibility,1995,136,7.7,84.0,117176,43.18
406,Mulan,1998,88,7.6,71.0,289207,120.62
407,True Grit,2010,110,7.6,80.0,340398,171.24
408,Rosemary's Baby,1968,137,8.0,96.0,218312,Null
409,Toy Story 4,2019,100,7.7,84.0,251018,434.04
410,The Last Samurai,2003,154,7.8,55.0,442191,111.11
411,Dirty Harry,1971,102,7.7,87.0,157887,35.9
412,Seven Samurai,1954,207,8.6,98.0,345964,0.27
413,Clerks,1994,92,7.7,70.0,224091,3.15
414,Life of Pi,2012,127,7.9,79.0,630723,124.99
415,The Man from Earth,2007,87,7.9,Null,188649,Null
416,The Theory of Everything,2014,123,7.7,71.0,452145,35.89
417,Paddington 2,2017,103,7.8,88.0,79668,40.44
418,After Hours,1985,97,7.6,90.0,70525,10.6
419,The Mitchells vs the Machines,2021,114,7.6,81.0,108807,Null
420,To Kill a Mockingbird,1962,129,8.3,88.0,317287,Null
421,Million Dollar Baby,2004,132,8.1,86.0,687377,100.49
422,Sound of Metal,2019,120,7.7,82.0,128393,Null
423,Blood Diamond,2006,143,8.0,64.0,550577,57.37
424,The Fly,1986,96,7.6,79.0,184659,40.46
425,Brazil,1985,132,7.9,84.0,201775,9.93
426,The Boondock Saints,1999,108,7.7,44.0,240302,0.03
427,The Boat,1981,149,8.4,86.0,251628,11.49
428,Wreck-It Ralph,2012,101,7.7,72.0,423823,189.42
429,Citizen Kane,1941,119,8.3,100.0,442467,1.59
430,The Elephant Man,1980,124,8.2,78.0,242078,Null
431,Gran Torino,2008,116,8.1,72.0,775564,148.1
432,La haine,1995,98,8.1,Null,174589,0.31
433,The Color Purple,1985,154,7.7,78.0,87830,98.47
434,As Good as It Gets,1997,139,7.7,67.0,300132,148.48
435,Eastern Promises,2007,100,7.6,82.0,244709,17.11
436,The Apartment,1960,125,8.3,94.0,182232,18.6
437,Big Hero 6,2014,102,7.8,74.0,462222,222.53
438,Lethal Weapon,1987,109,7.6,68.0,260140,65.21
439,The King's Speech,2010,118,8.0,88.0,681161,138.8
440,Star Trek Into Darkness,2013,132,7.7,72.0,484461,228.78
441,Toy Story 3,2010,103,8.3,92.0,834718,415.0
442,Donnie Brasco,1997,127,7.7,76.0,309819,41.91
443,Die Hard with a Vengeance,1995,128,7.6,58.0,388479,100.01
444,Vertigo,1958,128,8.3,100.0,402734,3.2
445,The Naked Gun: From the Files of Police Squad!,1988,85,7.6,76.0,171101,78.76
446,Cinema Paradiso,1988,155,8.5,80.0,261358,11.99
447,My Neighbor Totoro,1988,86,8.1,86.0,339507,1.11
448,Walk the Line,2005,136,7.8,72.0,252353,119.52
449,"Blood In, Blood Out",1993,180,7.9,47.0,31784,4.5
