,movie,year,rating,genre,runtime_min,imdb,metascore,votes,n_imdb
223,They Live,1988,R,"['Action', ' Horror', ' Sci-Fi']",94,7.2,55,131687,72.0
224,Star Wars: Episode II - Attack of the Clones,2002,PG,"['Action', ' Adventure', ' Fantasy']",142,6.6,54,711061,66.0
225,Batman & Robin,1997,PG-13,"['Action', ' Sci-Fi']",125,3.7,28,254985,37.0
226,X-Men: Apocalypse,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",144,6.9,52,436280,69.0
227,Sonic the Hedgehog,2020,PG,"['Action', ' Adventure', ' Comedy']",99,6.5,47,140255,65.0
228,John Carter,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",132,6.6,51,274233,66.0
229,Transformers: The Last Knight,2017,PG-13,"['Action', ' Adventure', ' Sci-Fi']",154,5.2,27,152763,52.0
230,A.I. Artificial Intelligence,2001,PG-13,"['Drama', ' Sci-Fi']",146,7.2,65,309065,72.0
231,Escape Room,2019,PG-13,"['Action', ' Adventure', ' Horror']",99,6.4,48,123752,64.0
232,Fire in the Sky,1993,PG-13,"['Biography', ' Drama', ' Fantasy']",109,6.5,42,25635,65.0
233,Star Trek Beyond,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",122,7.0,68,247337,70.0
234,Waterworld,1995,PG-13,"['Action', ' Adventure', ' Sci-Fi']",177,6.2,56,197819,62.0
235,Serenity,2005,PG-13,"['Action', ' Adventure', ' Sci-Fi']",119,7.8,74,297075,78.0
236,12 Monkeys,1995,R,"['Mystery', ' Sci-Fi', ' Thriller']",129,8.0,74,618714,80.0
237,Turbo: A Power Rangers Movie,1997,PG,"['Action', ' Adventure', ' Family']",99,3.6,35,9064,36.0
238,Gravity,2013,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",91,7.7,96,825860,77.0
239,Equilibrium,2002,R,"['Action', ' Drama', ' Sci-Fi']",107,7.3,33,332330,73.0
240,28 Weeks Later,2007,R,"['Action', ' Adventure', ' Horror']",100,6.9,78,278265,69.0
241,Close Encounters of the Third Kind,1977,PG,"['Drama', ' Sci-Fi']",138,7.6,90,203232,76.0
242,Transformers: Age of Extinction,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",165,5.6,32,315252,56.0
243,Barbarella,1968,PG,"['Adventure', ' Comedy', ' Fantasy']",98,5.8,51,35394,58.0
244,The Invisible Man,2020,R,"['Drama', ' Horror', ' Mystery']",124,7.1,72,228989,71.0
245,Men in Black II,2002,PG-13,"['Action', ' Adventure', ' Comedy']",88,6.1,49,377116,61.0
246,The Predator,2018,R,"['Action', ' Adventure', ' Sci-Fi']",107,5.3,48,134670,53.0
247,10 Cloverfield Lane,2016,PG-13,"['Drama', ' Horror', ' Mystery']",103,7.2,76,329082,72.0
